dates,buyIn,saleOut,netBuyIn,balance,SH,SHOverRate
2017-01-16,19.9348,33.236799999999995,-13.302,142.6615,3103.43,-0.3
2017-01-13,21.1769,15.208900000000002,5.968,123.66,3112.76,-0.21
2017-01-12,17.6294,11.1719,6.4575,123.0758,3119.29,-0.56
2017-01-11,19.3984,11.4676,7.9308000000000005,121.5373,3136.75,-0.79
2017-01-10,10.6822,17.036199999999997,-6.354,135.6552,3161.67,-0.3
2017-01-09,12.9868,22.160300000000003,-9.1735,138.4678,3171.24,0.54
2017-01-06,11.290799999999999,33.219,-21.9282,151.03,3154.32,-0.35
2017-01-05,15.4112,25.433600000000002,-10.0224,139.1234,3165.41,0.21
2017-01-04,14.720799999999999,28.8521,-14.131300000000001,143.48850000000002,3158.79,0.73
2017-01-03,12.2946,18.8441,-6.5495,135.8247,3135.92,1.04
2016-12-30,9.6313,12.415,-2.7837,132.0,3103.64,0.24
2016-12-29,11.3012,15.3465,-4.0453,133.2496,3096.1,-0.2
2016-12-28,11.7996,20.605300000000003,-8.8057,137.8487,3102.24,-0.4
2016-12-22,8.891,17.8023,-8.9113,138.4862,3139.56,0.07
2016-12-21,13.0628,14.906600000000001,-1.8437999999999999,131.5065,3137.43,1.11
2016-12-20,11.004000000000001,37.8899,-26.885900000000003,156.3742,3102.88,-0.49
2016-12-19,10.906099999999999,21.2225,-10.316400000000002,139.8216,3118.08,-0.16
2016-12-16,23.4953,20.8701,2.6252,126.42,3122.98,0.17
2016-12-15,20.6915,23.174699999999998,-2.4832,131.954,3117.68,-0.73
2016-12-14,21.476599999999998,20.959,0.5176,128.74450000000002,3140.53,-0.46
2016-12-13,19.6188,16.4455,3.1733,125.0659,3155.04,0.07
2016-12-12,26.0646,28.4225,-2.3579,131.1729,3152.97,-2.47
2016-12-09,34.3654,38.3739,-4.008500000000001,132.2345,3232.88,0.54
2016-12-08,26.8921,20.7757,6.1164,123.54440000000001,3215.37,-0.21
2016-12-07,19.1617,18.0438,1.1179000000000001,127.8383,3222.24,0.71
2016-12-06,20.2954,25.0331,-4.7377,133.966,3199.65,-0.16
2016-12-05,26.5599,41.4405,-14.8806,143.9244,3204.71,-1.21
2016-12-02,24.7284,40.1223,-15.3939,144.37,3243.84,-0.9
2016-12-01,27.836399999999998,18.4293,9.4071,119.55,3273.31,0.72
2016-11-30,29.764400000000002,18.7448,11.0196,118.29,3250.03,-1.0
2016-11-29,38.435900000000004,28.5851,9.8508,119.1,3282.92,0.18
2016-11-28,33.4092,19.454,13.9552,115.33,3277.0,0.46
2016-11-25,29.103099999999998,12.0031,17.1,112.34,3261.94,0.62
2016-11-24,22.5917,13.7444,8.8473,120.68,3241.74,0.02
2016-11-23,26.7773,15.4769,11.3004,118.37,3241.14,-0.22
2016-11-22,25.9863,12.739,13.247300000000001,116.25,3248.35,0.94
2016-11-21,15.3413,14.209100000000001,1.1322,128.24,3218.15,0.79
2016-11-18,10.3852,11.0265,-0.6413,130.24,3192.86,-0.49
2016-11-17,12.646199999999999,12.9341,-0.2879,129.73,3208.45,0.11
2016-11-16,18.0748,11.076400000000001,6.9984,122.02,3205.06,-0.06
2016-11-15,15.0342,14.915799999999999,0.1184,129.42,3206.99,-0.11
2016-11-14,23.7277,25.7319,-2.0042,131.13,3210.37,0.45
2016-11-11,20.4974,27.1644,-6.667000000000001,135.84,3196.04,0.78
2016-11-10,26.296100000000003,10.9143,15.3818,113.56,3171.28,1.37
2016-11-09,16.235,56.6478,-40.412800000000004,169.96,3128.37,-0.62
